property_price,property_property_type,property_bedrooms,property_bathrooms,property_size,property_is_furnished,property_location
"USD 210,000",Apartment,2,2,180,Unfurnished,"Hazmiyeh, Baabda"
"USD 250,000",Apartment,3,3,173,,"Fanar, Metn"
"USD 550,000",Apartment,4,4,380,,"Hazmiyeh, Baabda"
"USD 360,000",Apartment,3,3,150,,"Verdun, Beirut"
"USD 280,000",Apartment,3,3,227,Fully Furnished,"Biyada, Metn"
"USD 315,000",Apartment,3,4,190,Fully Furnished,"Rabweh, Metn"
"USD 480,000",Apartment,4,4,260,Semi-furnished,"Cornet Chahwan, Metn"
"USD 280,000",Apartment,1,2,110,,"Verdun, Beirut"
"USD 250,000",Apartment,3,4,200,Unfurnished,"Ajaltoun, Keserouan"
"USD 197,000",Apartment,3,2,150,Semi-furnished,"Jal El Dib, Metn"
"USD 250,000",Apartment,2,2,130,Fully Furnished,"Furn El Chebbak, Baabda"
"USD 550,000",Apartment,3,3,173,Unfurnished,"Achrafieh, Beirut"
"USD 1,100,000",Duplex,4,5,422,,"Clemenceau, Beirut"
"USD 129,000",Apartment,2,2,100,Fully Furnished,"Rabweh, Metn"
"USD 325,000",Apartment,3,4,180,Unfurnished,"Bsalim, Metn"
"USD 155,000",Apartment,2,2,130,,"Aaraiya, Baabda"
"USD 165,000",Apartment,2,2,120,,"Sin El Fil, Metn"
"USD 1,500,000",Villa,5,7,"1,061",,"Aley Town, Aley"
"USD 700,000",Detached house,4,4,750,,"Aley Town, Aley"
"USD 170,000",Duplex,3,3,155,,"Laqlouq, Jbeil"
"USD 135,000",Apartment,3,3,143,,"Hboub, Jbeil"
"USD 130,000",Apartment,2,2,120,Semi-furnished,"Biaqout, Metn"
"USD 229,000",Duplex,3,3,210,Unfurnished,"Rabweh, Metn"
"USD 170,000",Apartment,4,3,220,Unfurnished,"New Rawda, Metn"
"USD 490,000",Apartment,3,4,250,,"Horsh Tabet, Metn"
"USD 250,000",Apartment,3,3,200,Semi-furnished,"Sin El Fil, Metn"
"USD 152,000",Apartment,2,3,117,Unfurnished,"Halat, Jbeil"
"USD 110,000",Apartment,3,3,190,Unfurnished,"Kfar Roummane, Nabatieh"
"USD 275,000",Villa,4,4,200,Unfurnished,"Laqlouq, Jbeil"
"USD 520,000",Apartment,3,4,280,Fully Furnished,"Mtayleb, Metn"
"USD 549,000",Apartment,4,3,420,Unfurnished,"Hazmiyeh, Baabda"
"USD 165,000",Apartment,2,2,135,,"Mar Roukoz, Metn"
"USD 144,000",Apartment,2,2,170,,"Betchay, Baabda"
"USD 300,000",Apartment,3,3,170,Unfurnished,"Zalka, Metn"
"USD 110,000",Apartment,2,2,110,Unfurnished,"Mkalles, Metn"
"USD 104,900",Apartment,2,2,140,,"Bouar, Keserouan"
"USD 215,000",Villa,3,3,760,Unfurnished,"Kfar Roummane, Nabatieh"
"USD 180,000",Apartment,3,3,170,Unfurnished,"Zalka, Metn"
"USD 132,000",Apartment,2,2,120,,"Kfarchima, Baabda"
"USD 315,000",Apartment,3,4,170,Unfurnished,"Roumieh, Metn"
"USD 208,000",Apartment,1,1,62,,"Mar Mkhayel, Beirut"
"USD 300,000",Apartment,2,1,150,Unfurnished,"Clemenceau, Beirut"
"USD 340,000",Villa,4,5,263,Unfurnished,"Barbara, Jbeil"
"USD 169,000",Apartment,4,4,300,Unfurnished,"Halat, Jbeil"
"USD 182,400",Apartment,3,3,152,Unfurnished,"Jbeil Town, Jbeil"
"USD 600,000",Apartment,3,5,265,Fully Furnished,"Adma w Dafnah, Keserouan"
"USD 299,000",Duplex,2,3,160,Fully Furnished,"Faqra, Keserouan"
"USD 350,000",Duplex,2,3,200,Fully Furnished,"Faqra, Keserouan"
"USD 135,000",Apartment,2,2,142,Fully Furnished,"Jbeil Town, Jbeil"
"USD 250,000",Villa,5,5,560,Unfurnished,"Baskinta, Metn"
"USD 350,000",Apartment,3,2,198,Fully Furnished,"Tallet el Khayat, Beirut"
"USD 140,000",Apartment,3,3,175,,"Sehayleh, Keserouan"
"USD 260,000",Apartment,3,4,210,Unfurnished,"Fanar, Metn"
"USD 290,000",Detached house,1,2,"1,151",Semi-furnished,"Other in Batroun, Batroun"
"USD 139,000",Apartment,3,3,160,Unfurnished,"Baabdat, Metn"
"USD 1,300,000",Villa,5,4,620,,"Bikfaya, Metn"
"USD 190,000",Apartment,3,3,250,,"Blat, Jbeil"
"USD 185,000",Apartment,3,3,238,Unfurnished,"Faitroun, Keserouan"
"USD 105,000",Apartment,2,2,83,Unfurnished,"Aamchit, Jbeil"
"USD 210,000",Apartment,2,2,125,Fully Furnished,"Jounieh, Keserouan"
"USD 144,000",Apartment,3,3,175,,"Other in Zahle, Zahle"
"USD 210,000",Apartment,3,3,194,Unfurnished,"Sahel Alma, Keserouan"
"USD 320,000",Duplex,3,4,320,Unfurnished,"Bsalim, Metn"
"USD 675,000",Apartment,3,4,275,Fully Furnished,"Jnah, Beirut"
"USD 299,000",Apartment,2,2,90,Fully Furnished,"Mar Mkhayel, Beirut"
"USD 615,000",Villa,5,6,410,Unfurnished,"Bikfaya, Metn"
"USD 185,000",Apartment,2,2,130,Fully Furnished,"Msaytbeh, Beirut"
"USD 750,000",Duplex,5,4,440,Fully Furnished,"Ain Saadeh, Metn"
"USD 140,000",Apartment,3,2,140,Semi-furnished,"Ballouneh, Keserouan"
"USD 780,000",Apartment,3,4,235,,"Jnah, Beirut"
"USD 258,000",Apartment,1,2,86,,"Achrafieh, Beirut"
"USD 165,000",Apartment,3,4,177,Unfurnished,"Other in Metn, Metn"
"USD 1,200,000",Apartment,3,5,300,,"Achrafieh, Beirut"
"USD 170,000",Apartment,3,3,183,,"Dik El Mehdi, Metn"
"USD 250,000",Apartment,2,2,100,,"Achrafieh, Beirut"
"USD 410,000",Apartment,3,3,260,Unfurnished,"Hazmiyeh, Baabda"
"USD 650,000",Apartment,4,5,400,Fully Furnished,"Hazmiyeh, Baabda"
"USD 1,050,000",Duplex,3,4,443,Unfurnished,"Achrafieh, Beirut"
"USD 380,000",Apartment,3,3,260,Unfurnished,"Bsalim, Metn"
"USD 149,999",Apartment,3,2,170,Unfurnished,"Sahel Alma, Keserouan"
"USD 126,000",Duplex,3,2,105,Fully Furnished,"Zouk Mosbeh, Keserouan"
"USD 229,999",Apartment,1,2,210,Unfurnished,"Jbeil Town, Jbeil"
"USD 155,000",Apartment,3,3,145,,"Aaraiya, Baabda"
"USD 149,999",Apartment,2,2,125,Unfurnished,"Halat, Jbeil"
"USD 90,000",Apartment,3,2,121,,"Sawfar, Aley"
"USD 135,000",Apartment,2,2,138,Semi-furnished,"Aley Town, Aley"
"USD 160,000",Apartment,2,1,90,,"Achrafieh, Beirut"
"USD 525,000",Duplex,4,4,290,Unfurnished,"Hazmiyeh, Baabda"
"USD 700,000",Apartment,3,5,320,Unfurnished,"Rabieh, Metn"
"USD 1,450,000",Apartment,4,5,550,,"Rawche, Beirut"
"USD 130,000",Apartment,3,3,190,Unfurnished,"Broummana, Metn"
"USD 319,000",Apartment,4,4,220,Unfurnished,"Mar Roukoz, Metn"
"USD 280,000",Apartment,4,4,450,,"Damour, Chouf"
"USD 135,000",Apartment,2,3,130,Unfurnished,"Dbaye, Metn"
"USD 63,000",Apartment,2,2,110,,"Jiyyeh, Chouf"
"USD 216,000",Duplex,3,3,270,,"Bouar, Keserouan"
"USD 179,000",Apartment,2,2,138,Unfurnished,"Antelias, Metn"
"USD 137,000",Apartment,2,2,110,Unfurnished,"Antelias, Metn"
"USD 220,000",Apartment,4,5,300,,"Other in Saida, Saida"
"USD 275,000",Apartment,4,5,360,Unfurnished,"Bikfaya, Metn"
"USD 53,000",Apartment,2,2,120,Unfurnished,"Zefta, Nabatieh"
"USD 85,000",Apartment,3,3,170,Unfurnished,"Zebdine, Nabatieh"
"USD 85,000",Apartment,3,3,165,Unfurnished,"Kfar Roummane, Nabatieh"
"USD 500,000",Apartment,3,3,200,Unfurnished,"Achrafieh, Beirut"
"USD 50,000",Apartment,2,2,120,Unfurnished,"Nabatiyeh El Tahta, Nabatieh"
"USD 149,000",Apartment,3,3,170,Unfurnished,"Khaldeh, Aley"
"USD 500,000",Apartment,3,4,212,,"Achrafieh, Beirut"
"USD 290,000",Detached house,1,2,"1,151",Unfurnished,"Other in Batroun, Batroun"
"USD 400,000",Apartment,3,4,175,Unfurnished,"Mar Takla, Baabda"
"USD 231,000",Duplex,3,4,208,Unfurnished,"Rabweh, Metn"
"USD 560,000",Apartment,3,4,280,Unfurnished,"Yarzeh, Baabda"
"USD 225,000",Apartment,3,3,165,Unfurnished,"Sehayleh, Keserouan"
"USD 580,000",Apartment,2,3,150,,"Verdun, Beirut"
"USD 169,000",Apartment,2,2,108,Unfurnished,"Hadath, Baabda"
"USD 565,000",Apartment,3,3,230,,"Yarzeh, Baabda"
"USD 106,000",Apartment,3,2,144,Unfurnished,"Blat, Jbeil"
"USD 550,000",Apartment,3,3,400,Unfurnished,"Baabda Town, Baabda"
"USD 420,000",Villa,3,3,"1,250",,"Ksara, Zahle"
"USD 240,000",Villa,3,3,160,,"Faraya, Keserouan"
"USD 1,700,000",Apartment,3,5,320,,"Downtown, Beirut"
"USD 225,000",Apartment,3,3,140,Unfurnished,"Mar Roukoz, Metn"
"USD 325,000",Villa,4,4,300,Unfurnished,"Batroun Town, Batroun"
"USD 135,000",Apartment,3,3,183,,"Ain Enoub, Aley"
"USD 1,600,000",Apartment,3,5,400,Unfurnished,"Ramlet el Bayda, Beirut"
"USD 575,000",Apartment,3,4,174,Unfurnished,"Achrafieh, Beirut"
"USD 1,650,000",Villa,7,7,"1,000",Unfurnished,"Monteverde, Metn"
"USD 277,000",Apartment,3,3,230,Unfurnished,"Mansourieh, Metn"
"USD 185,000",Apartment,3,3,210,Unfurnished,"Halat, Jbeil"
"USD 3,100,000",Apartment,6,8,900,Unfurnished,"Ain Al Mraiseh, Beirut"
"USD 330,000",Apartment,4,5,340,,"Dawhet el Hoss, Aley"
"USD 280,000",Apartment,3,3,155,,"Nowayri, Beirut"
"USD 350,000",Apartment,3,4,240,Unfurnished,"Ain Saadeh, Metn"
"USD 165,000",Apartment,2,3,139,Unfurnished,"Dawhet el Hoss, Aley"
"USD 105,000",Apartment,2,2,100,Unfurnished,"Mazraat Yachouh, Metn"
"USD 5,000,000",Villa,7,12,"2,400",Unfurnished,"Ain Saadeh, Metn"
"USD 1,500,000",Villa,5,6,700,Fully Furnished,"Baabdat, Metn"
"USD 140,000",Penthouse,2,2,170,,"Aaraiya, Baabda"
"USD 164,000",Apartment,3,2,180,Unfurnished,"Ain Najm, Metn"
"USD 255,000",Apartment,2,2,125,,"Nowayri, Beirut"
"USD 525,000",Apartment,4,6,360,,"Hazmiyeh, Baabda"
"USD 290,000",Apartment,3,3,175,Unfurnished,"Kaskas, Beirut"
"USD 128,000",Apartment,3,3,180,Unfurnished,"Mazraat Yachouh, Metn"
"USD 800,000",Apartment,2,3,135,,"Verdun, Beirut"
"USD 120,000",Apartment,2,2,100,Unfurnished,"Awkar, Metn"
"USD 290,000",Apartment,3,4,250,Semi-furnished,"Zouk Mikael, Keserouan"
"USD 170,000",Apartment,2,3,143,Unfurnished,"Dbaye, Metn"
"USD 490,000",Apartment,2,4,155,Unfurnished,"Dbaye, Metn"
"USD 1,650",Apartment,2,3,123,Unfurnished,"Mansourieh, Metn"
"USD 2,500,000",Apartment,3,4,280,Unfurnished,"Downtown, Beirut"
"USD 462,000",Detached house,4,2,"1,000",Unfurnished,"Bikfaya, Metn"
"USD 140,000",Apartment,2,2,143,Unfurnished,"Mazraat Yachouh, Metn"
"USD 320,000",Apartment,3,4,200,Fully Furnished,"Biyada, Metn"
"USD 350,000",Apartment,3,3,180,Unfurnished,"Mazraa, Beirut"
"USD 415,000",Apartment,3,4,265,,"Jal El Dib, Metn"
"USD 1,300,000",Duplex,3,4,375,Unfurnished,"Badaro, Beirut"
"USD 210,000",Apartment,3,3,240,Fully Furnished,"New Rawda, Metn"
"USD 450,000",Apartment,3,3,220,Unfurnished,"Kfar Hbab, Keserouan"
"USD 750,000",Apartment,5,5,550,Unfurnished,"Broummana, Metn"
"USD 190,000",Apartment,3,3,170,Unfurnished,"Kfar Hbab, Keserouan"
"USD 2,000,000",Apartment,5,4,500,Unfurnished,"Ramlet el Bayda, Beirut"
"USD 300,000",Apartment,3,4,185,Fully Furnished,"Kfaryassine, Keserouan"
"USD 700,000",Apartment,3,5,240,Fully Furnished,"Hamra, Beirut"
"USD 139,000",Apartment,2,2,115,Unfurnished,"Antelias, Metn"
"USD 160,000",Apartment,3,2,140,,"Biaqout, Metn"
"USD 135,000",Apartment,3,3,180,Unfurnished,"Antelias, Metn"
"USD 425,000",Apartment,2,2,165,Fully Furnished,"Achrafieh, Beirut"
"USD 175,000",Apartment,3,2,230,Fully Furnished,"Blat, Jbeil"
"USD 97,000",Apartment,3,2,135,Unfurnished,"Safra, Keserouan"
"USD 140,000",Apartment,2,2,115,Unfurnished,"Halat, Jbeil"
"USD 179,000",Apartment,3,3,240,Fully Furnished,"Rabweh, Metn"
"USD 350,000",Apartment,3,3,200,,"Monteverde, Metn"
"USD 270,000",Apartment,3,4,297,Fully Furnished,"Ghazir, Keserouan"
"USD 250,000",Apartment,3,3,140,Unfurnished,"Baabdat, Metn"
"USD 180,000",Apartment,3,3,180,Unfurnished,"Rabweh, Metn"
"USD 899,000",Apartment,5,5,350,Fully Furnished,"Faqra, Keserouan"
"USD 170,000",Apartment,3,2,140,,"Betchay, Baabda"
"USD 150,000",Apartment,3,2,167,,"Haret Sakher, Keserouan"
"USD 159,000",Apartment,2,2,150,Unfurnished,"Rabweh, Metn"
"USD 120,000",Apartment,2,2,140,Fully Furnished,"Zouk Mikael, Keserouan"
"USD 2,490,000",Apartment,4,6,475,Unfurnished,"Saifi, Beirut"
"USD 750,000",Apartment,2,2,190,Fully Furnished,"Achrafieh, Beirut"
"USD 1,024,000",Apartment,3,4,320,Unfurnished,"Achrafieh, Beirut"
"USD 1,350,000",Apartment,2,3,170,Fully Furnished,"Downtown, Beirut"
"USD 525,000",Apartment,2,4,265,,"Biyada, Metn"
"USD 1,820,000",Apartment,3,5,280,Unfurnished,"Downtown, Beirut"
"USD 149,000",Apartment,2,2,100,Unfurnished,"Mansourieh, Metn"
"USD 2,700,000",Apartment,2,3,285,Fully Furnished,"Downtown, Beirut"
"USD 95,000",Apartment,2,2,110,Unfurnished,"Dekwaneh, Metn"
"USD 5,300,000",Apartment,4,6,520,Unfurnished,"Achrafieh, Beirut"
"USD 390,000",Apartment,3,3,122,Unfurnished,"Achrafieh, Beirut"
"USD 185,000",Apartment,3,2,175,,"Baabda Town, Baabda"
"USD 58,000",Apartment,2,1,100,Unfurnished,"Aamchit, Jbeil"
"USD 3,000,000",Apartment,4,6,450,Fully Furnished,"Manara, Beirut"
"USD 520,000",Apartment,4,3,233,Semi-furnished,"Mtayleb, Metn"
"USD 110,000",Apartment,2,2,110,,"Sarba, Keserouan"
"USD 120,000",Apartment,3,2,160,Unfurnished,"Aaramoun, Aley"
"USD 228,000",Apartment,3,4,175,,"Harissa, Keserouan"
"USD 150,000",Apartment,3,3,185,,"Sahel Alma, Keserouan"
"USD 550,000",Apartment,3,4,255,Fully Furnished,"Badaro, Beirut"
"USD 235,000",Duplex,3,3,235,Semi-furnished,"Jounieh, Keserouan"
"USD 339,000",Apartment,3,3,175,Unfurnished,"Bsalim, Metn"
"USD 2,800,000",Apartment,4,6,550,Unfurnished,"Downtown, Beirut"
"USD 177,000",Apartment,3,4,165,Unfurnished,"Ballouneh, Keserouan"
"USD 255,000",Apartment,3,4,245,,"Dbaye, Metn"
"USD 480,000",Apartment,3,3,240,Unfurnished,"Mtayleb, Metn"
"USD 145,000",Apartment,2,3,125,,"Mazraat Yachouh, Metn"
"USD 335,000",Apartment,2,3,180,,"Badaro, Beirut"
"USD 195,000",Apartment,2,3,145,,"Mansourieh, Metn"
"USD 135,000",Apartment,2,2,140,Unfurnished,"Ballouneh, Keserouan"
"USD 230,000",Apartment,3,4,140,Unfurnished,"Nabay, Metn"
"USD 285,000",Apartment,3,4,177,Unfurnished,"Roumieh, Metn"
"USD 270,000",Apartment,3,5,270,Unfurnished,"Bsalim, Metn"
"USD 150,000",Apartment,3,2,145,Semi-furnished,"Awkar, Metn"
"USD 1,900,000",Apartment,4,5,360,Unfurnished,"Saifi, Beirut"
"USD 229,999",Apartment,1,2,210,Unfurnished,"Jbeil Town, Jbeil"
"USD 1,300,000",Apartment,3,4,250,,"Rawche, Beirut"
"USD 1,600,000",Apartment,3,5,400,Fully Furnished,"Ramlet el Bayda, Beirut"
"USD 280,000",Duplex,3,3,247,Unfurnished,"Halat, Jbeil"
"USD 140,000",Apartment,3,4,195,Unfurnished,"Ajaltoun, Keserouan"
"USD 169,000",Apartment,2,2,108,Unfurnished,"Hadath, Baabda"
"USD 142,000",Apartment,2,2,105,Unfurnished,"Broummana, Metn"
"USD 225,000",Apartment,3,2,150,Unfurnished,"Achrafieh, Beirut"
"USD 780,000",Apartment,4,4,380,,"Mtayleb, Metn"
"USD 1,300,000",Apartment,3,4,330,Unfurnished,"Dbaye, Metn"
"USD 600,000",Apartment,3,3,190,Unfurnished,"Ain Al Mraiseh, Beirut"
"USD 1,350,000",Apartment,4,6,373,Unfurnished,"Achrafieh, Beirut"
"USD 87,000",Apartment,2,2,95,,"Aannaya, Jbeil"
"USD 185,000",Apartment,3,3,255,Fully Furnished,"Fidar, Jbeil"
"USD 159,000",Apartment,3,4,175,Unfurnished,"Adonis, Keserouan"
"USD 95,000",Apartment,3,2,144,,"Zahle Town, Zahle"
"USD 895,000",Apartment,3,2,390,Unfurnished,"Ain Al Tineh, Beirut"
"USD 127,000",Apartment,3,2,150,,"Klayaat, Keserouan"
"USD 575,000",Apartment,4,4,250,Unfurnished,"Tallet el Khayat, Beirut"
"USD 650,000",Apartment,4,5,350,Unfurnished,"Louaizeh, Baabda"
"USD 700,000",Duplex,4,4,250,Unfurnished,"Hazmiyeh, Baabda"
"USD 320,000",Apartment,3,3,196,Unfurnished,"Achrafieh, Beirut"
"USD 125,000",Apartment,3,2,220,Unfurnished,"Tabarja, Keserouan"
"USD 139,000",Apartment,2,2,130,Fully Furnished,"Blat, Jbeil"
"USD 140,000",Apartment,3,3,165,,"Aachqout, Keserouan"
"USD 115,000",Apartment,3,2,135,,"Aachqout, Keserouan"
"USD 65,000",Apartment,2,2,102,Fully Furnished,"Aannaya, Jbeil"
"USD 95,000",Apartment,2,3,118,,"Halat, Jbeil"
"USD 265,000",Villa,4,3,165,Fully Furnished,"Mechmech, Jbeil"
"USD 550,000",Apartment,2,2,145,Appliances only,"Achrafieh, Beirut"
"USD 550,000",Apartment,3,4,260,Unfurnished,"Mar Takla, Baabda"
"USD 1,400,000",Apartment,4,5,370,Unfurnished,"Ramlet el Bayda, Beirut"
"USD 169,000",Apartment,3,3,220,,"Ain El Rihaneh, Keserouan"
"USD 170,000",Apartment,3,3,160,Unfurnished,"Maaysrah, Keserouan"
"USD 125,000",Apartment,2,3,125,,"Sarba, Keserouan"
"USD 65,000",Apartment,2,2,80,Unfurnished,"Aamchit, Jbeil"
"USD 572,000",Apartment,4,5,220,Appliances only,"Hazmiyeh, Baabda"
"USD 320,000",Apartment,4,4,300,Fully Furnished,"Broummana, Metn"
"USD 300,000",Apartment,3,4,180,Fully Furnished,"Adma w Dafnah, Keserouan"
"USD 649,000",Apartment,3,3,240,Fully Furnished,"Ras Beirut, Beirut"
"USD 113,000",Apartment,1,1,35,Unfurnished,"Athens, Greece"
"USD 700,000",Apartment,3,3,250,Fully Furnished,"Achrafieh, Beirut"
"USD 280,000",Apartment,3,4,240,Unfurnished,"Mansourieh, Metn"
"USD 200,000",Apartment,3,3,150,Unfurnished,"Mansourieh, Metn"
"USD 260,000",Apartment,3,2,190,Unfurnished,"Dhour El Choueir, Metn"
"USD 270,000",Apartment,3,4,175,Unfurnished,"Baabdat, Metn"
"USD 750,000",Villa,3,4,500,Unfurnished,"Ballouneh, Keserouan"
"USD 425,000",Apartment,4,5,203,Unfurnished,"Baabda Town, Baabda"
"USD 105,000",Apartment,2,2,104,Fully Furnished,"Hadath, Baabda"
"USD 445,000",Apartment,3,3,200,Unfurnished,"Baabda Town, Baabda"
"USD 340,000",Apartment,3,4,240,,"Ballouneh, Keserouan"
"USD 160,000",Apartment,2,1,77,Unfurnished,"Achrafieh, Beirut"
"USD 75,000",Apartment,2,2,120,Fully Furnished,"Dekwaneh, Metn"
"USD 230,000",Apartment,4,3,190,Unfurnished,"Beit El Chaar, Metn"
"USD 675,000",Apartment,3,3,180,,"Rawche, Beirut"
"USD 155,000",Apartment,3,3,135,,"Ballouneh, Keserouan"
"USD 250,000",Apartment,1,1,60,,"Achrafieh, Beirut"
"USD 1,400,000",Apartment,3,4,360,Unfurnished,"Jnah, Beirut"
"USD 350,000",Apartment,3,4,225,Semi-furnished,"Ain Najm, Metn"
"USD 2,400,000",Apartment,4,4,550,Unfurnished,"Jnah, Beirut"
"USD 345,000",Apartment,3,3,300,Unfurnished,"Tariq el Jdideh, Beirut"
"USD 247,000",Apartment,1,2,85,Unfurnished,"Achrafieh, Beirut"
"USD 700,000",Apartment,4,4,250,Unfurnished,"Koraytem, Beirut"
"USD 400,000",Apartment,4,4,500,Unfurnished,"Mar Roukoz, Metn"
"USD 159,000",Apartment,3,3,180,,"Mazraat Yachouh, Metn"
"USD 185,000",Apartment,3,3,203,,"Nahr Ibrahim, Jbeil"
"USD 375,000",Triplex,4,4,550,,"Other in Batroun, Batroun"
"USD 85,000",Apartment,3,2,130,Fully Furnished,"Sarba, Keserouan"
"USD 390,000",Apartment,3,3,210,Unfurnished,"Mtayleb, Metn"
"USD 375,000",Apartment,3,4,235,Unfurnished,"Ain Aar, Metn"
"USD 79,000",Apartment,2,2,95,Fully Furnished,"Jbeil Town, Jbeil"
"USD 84,000",Apartment,1,1,50,Fully Furnished,"Zaarour, Metn"
"USD 650,000",Apartment,4,5,350,Fully Furnished,"Hazmiyeh, Baabda"
"USD 500,000",Apartment,4,4,250,Fully Furnished,"Hazmiyeh, Baabda"
"USD 130,000",Apartment,3,3,150,Unfurnished,"Rabieh, Metn"
"USD 140,000",Apartment,2,2,110,,"Bsalim, Metn"
"USD 300,000",Apartment,3,3,180,Unfurnished,"Mar Elias, Beirut"
"USD 217,000",Apartment,3,4,155,Fully Furnished,"Bsalim, Metn"
"USD 1,200,000",Apartment,3,3,250,Unfurnished,"Rawche, Beirut"
"USD 325,000",Apartment,3,2,220,Unfurnished,"Tariq el Jdideh, Beirut"
"USD 52,000",Apartment,3,3,160,Unfurnished,"Other in Nabatieh, Nabatieh"
"USD 799,000",Villa,5,5,850,Unfurnished,"Breij, Jbeil"
"USD 175,000",Apartment,3,3,207,,"Zahle Town, Zahle"
"USD 275,000",Apartment,3,3,250,,"Dawhet el Hoss, Aley"
"USD 170,000",Apartment,3,3,165,Unfurnished,"Roumieh, Metn"
"USD 590,000",Apartment,2,3,250,Unfurnished,"Verdun, Beirut"
"USD 300,000",Apartment,3,4,250,Unfurnished,"Dawhet el Hoss, Aley"
"USD 750,000",Apartment,3,3,220,Fully Furnished,"Tallet el Khayat, Beirut"
"USD 350,000",Apartment,3,3,250,Unfurnished,"Mazraa, Beirut"
"USD 1,500,000",Villa,4,4,350,,"Aamchit, Jbeil"
"USD 130,000",Apartment,2,2,142,Fully Furnished,"Hboub, Jbeil"
"USD 360,000",Duplex,3,4,400,Unfurnished,"Beit Chabeb, Metn"
"USD 179,000",Apartment,2,2,110,Unfurnished,"Dbaye, Metn"
"USD 246,000",Apartment,3,3,250,Unfurnished,"Monteverde, Metn"
"USD 160,000",Apartment,3,3,250,Fully Furnished,"Ballouneh, Keserouan"
"USD 1,600,000",Villa,4,5,"1,500",Unfurnished,"Baabdat, Metn"
"USD 197,000",Apartment,3,2,150,Semi-furnished,"Jal El Dib, Metn"
"USD 250,000",Apartment,3,4,260,Unfurnished,"Jeita, Keserouan"
"USD 900,000",Loft,3,4,375,Unfurnished,"Spears, Beirut"
"USD 335,000",Apartment,2,4,156,,"Beit Misk, Metn"
"USD 160,000",Apartment,3,4,165,Unfurnished,"Adma w Dafnah, Keserouan"
"USD 400,000",Apartment,2,3,160,Unfurnished,"Barbour, Beirut"
"USD 1,100,000",Apartment,4,4,360,Fully Furnished,"Ramlet el Bayda, Beirut"
"USD 250,000",Apartment,3,4,200,Unfurnished,"Bsalim, Metn"
"USD 580,000",Apartment,2,3,145,Unfurnished,"sakiet al janzeer, Beirut"
"USD 200,000",Apartment,3,3,140,Unfurnished,"Dik El Mehdi, Metn"
"USD 250,000",Apartment,3,3,180,Unfurnished,"Baabdat, Metn"
"USD 175,000",Apartment,3,3,160,Unfurnished,"Fanar, Metn"
"USD 500,000",Apartment,3,4,225,Unfurnished,"Mar Chaaya, Metn"
"USD 250,000",Apartment,4,4,240,,"Antelias, Metn"
"USD 110,000",Apartment,3,2,140,Unfurnished,"Ain Aalak, Metn"
"USD 420,000",Apartment,3,4,310,,"Kaslik, Keserouan"
"USD 500,000",Apartment,2,3,157,Unfurnished,"Achrafieh, Beirut"
"USD 1,000,000",Apartment,3,3,475,Fully Furnished,"Abed El Wahab, Beirut"
"USD 240,000",Apartment,1,2,96,Unfurnished,"Dbaye, Metn"
"USD 550,000",Apartment,3,3,206,Unfurnished,"Rizk Area, Beirut"
"USD 190,000",Apartment,2,2,130,Unfurnished,"Achrafieh, Beirut"
"USD 450,000",Villa,5,7,440,Fully Furnished,"Aachqout, Keserouan"
"USD 320,000",Apartment,3,4,290,Unfurnished,"Baabdat, Metn"
"USD 150,000",Apartment,2,2,140,Unfurnished,"Nabay, Metn"
"USD 520,000",Apartment,2,3,150,Appliances only,"Achrafieh, Beirut"
"USD 440,000",Apartment,4,5,345,Unfurnished,"Fanar, Metn"
"USD 245,000",Apartment,3,4,255,Unfurnished,"Jbeil Town, Jbeil"
"USD 150,000",Apartment,3,2,150,Fully Furnished,"Bsaba, Baabda"
"USD 529,000",Duplex,4,6,530,Unfurnished,"Louaizeh, Baabda"
"USD 190,000",Apartment,3,3,185,Unfurnished,"Bchamoun, Aley"
"USD 298,000",Apartment,3,3,165,Fully Furnished,"Hazmiyeh, Baabda"
"USD 240,000",Apartment,3,3,225,Unfurnished,"Rabweh, Metn"
"USD 875,000",Apartment,3,5,300,Unfurnished,"Achrafieh, Beirut"
"USD 265,000",Apartment,3,3,176,Unfurnished,"Beit El Kiko, Metn"
"USD 167,000",Apartment,3,3,160,Unfurnished,"Kfar Abida, Batroun"
"USD 460,000",Apartment,3,3,280,Unfurnished,"Beit Misk, Metn"
"USD 87,000",Apartment,2,2,100,Unfurnished,"Halat, Jbeil"
"USD 999,000",Duplex,4,4,473,Unfurnished,"Mtayleb, Metn"
"USD 163,000",Apartment,3,3,181,,"Other in Koura, Koura"
"USD 1,200,000",Villa,5,6,"1,200",Fully Furnished,"Sehayleh, Keserouan"
"USD 1,300,000",Villa,5,7,"1,616",Unfurnished,"Souk el Gharb, Aley"
"USD 170,000",Apartment,2,2,110,Unfurnished,"Jal El Dib, Metn"
"USD 125,000",Apartment,2,2,125,Fully Furnished,"Jeddayel, Jbeil"
"USD 550,000",Apartment,3,4,280,,"Tallet el Khayat, Beirut"
"USD 350,000",Apartment,2,2,150,Unfurnished,"Baabda Town, Baabda"
"USD 420,000",Villa,3,4,400,Fully Furnished,"Jbeil Town, Jbeil"
"USD 1,850,000",Apartment,3,4,330,Fully Furnished,"Dbaye, Metn"
"USD 160,000",Apartment,3,3,160,Unfurnished,"Sehayleh, Keserouan"
"USD 106,000",Apartment,3,2,144,Unfurnished,"Blat, Jbeil"
